Ad ID,ad_type,Product/Service Name,category,target_audience,platform,Impressions,Clicks,Conversions,ad_spend,Revenue,ad_duration,Location,Date
1,Product-Based,Home Security,Security,Professionals,TV,12634,5707,371,3163.92,7460.85,9,New York,01-01-2024 00:00
2,Service-Based,Laptop,Health & Fitness,Teens,Social Media,37623,8220,734,2171.18,27860.6,2,Los Angeles,01-01-2024 01:00
3,Service-Based,Laptop,Food & Beverage,Teens,Radio,30233,9719,925,3755.63,30810.32,10,Los Angeles,01-01-2024 02:00
4,Service-Based,Home Security,Entertainment,Teens,Online,13182,1121,961,5061.41,28762.36,2,Toronto,01-01-2024 03:00
5,Service-Based,Home Security,Education,Professionals,Billboard,18486,4143,465,1833.91,37402.5,8,Toronto,01-01-2024 04:00
6,Service-Based,E-commerce Platform,Entertainment,Teens,Print Media,7162,2130,901,8627.33,34562.11,15,Sydney,01-01-2024 05:00
7,Service-Based,Home Security,E-commerce,Adults,Radio,46016,4117,103,8712.03,30283.3,15,Dubai,01-01-2024 06:00
8,Product-Based,Smartphone,Health & Fitness,Students,Print Media,2940,3694,729,8065.83,9223.08,15,Berlin,01-01-2024 07:00
9,Service-Based,E-commerce Platform,Health & Fitness,Professionals,Radio,31963,2865,988,2488.84,45272.95,9,Berlin,01-01-2024 08:00
10,Product-Based,Travel Package,Health & Fitness,Students,Radio,8625,4124,537,2439.14,15051.58,6,Toronto,01-01-2024 09:00
11,Product-Based,Education Course,Travel,Professionals,Radio,18669,7754,738,8447.37,12659.07,5,Tokyo,01-01-2024 10:00
12,Service-Based,Streaming Service,Health & Fitness,Families,Billboard,45583,8013,474,1804.22,33451.62,26,Toronto,01-01-2024 11:00
13,Product-Based,Home Security,Travel,Professionals,TV,42785,3977,441,7283.6,10795.2,22,London,01-01-2024 12:00
14,Product-Based,Gourmet Food Delivery,Finance,Families,TV,38541,5341,640,3889.99,18860.18,25,Dubai,01-01-2024 13:00
15,Service-Based,Home Security,Food & Beverage,Students,TV,25564,9658,115,7049.35,35540.2,9,Toronto,01-01-2024 14:00
16,Product-Based,Fitness Membership,Security,Students,Social Media,21832,1335,319,4577.45,24193.49,21,Sydney,01-01-2024 15:00
17,Product-Based,Fitness Membership,E-commerce,Seniors,Billboard,15884,7829,110,8805.68,22736.11,28,New York,01-01-2024 16:00
18,Service-Based,Insurance,E-commerce,Teens,Billboard,45954,4180,824,4708.02,41431.81,22,New York,01-01-2024 17:00
19,Service-Based,Gourmet Food Delivery,Food & Beverage,Seniors,Radio,17171,1706,609,6975.13,32843.91,4,Sydney,01-01-2024 18:00
20,Service-Based,Insurance,Finance,Adults,Radio,33517,9393,220,8524.63,8920.86,27,London,01-01-2024 19:00
21,Service-Based,Streaming Service,Food & Beverage,Seniors,Social Media,17505,8649,706,2078.17,3812.87,9,Dubai,01-01-2024 20:00
22,Service-Based,Fitness Membership,Travel,Professionals,Online,10895,2595,24,6111.66,39482.39,22,Tokyo,01-01-2024 21:00
23,Service-Based,Travel Package,Health & Fitness,Adults,TV,39046,1420,238,7405.88,45799.4,11,London,01-01-2024 22:00
24,Service-Based,Home Security,Travel,Students,Online,32263,6017,495,885.74,21280.64,9,Mumbai,01-01-2024 23:00
25,Service-Based,Travel Package,Electronics,Professionals,Radio,10022,7906,609,9153.31,46768.19,29,Berlin,02-01-2024 00:00
26,Service-Based,Insurance,Travel,Professionals,Online,46696,1437,392,9172.02,46519.66,23,Mumbai,02-01-2024 01:00
27,Product-Based,Streaming Service,Security,Teens,Billboard,35665,8611,175,4633.45,44433.52,12,Los Angeles,02-01-2024 02:00
28,Product-Based,Fitness Membership,Education,Professionals,Print Media,36742,4233,72,3088.02,44834.46,6,Dubai,02-01-2024 03:00
29,Service-Based,Travel Package,Travel,Professionals,Online,24234,1013,595,6770.2,20302.52,5,London,02-01-2024 04:00
30,Service-Based,Home Security,Food & Beverage,Teens,Online,10271,1183,469,4228.47,34302.65,2,New York,02-01-2024 05:00
31,Service-Based,Fitness Membership,E-commerce,Professionals,Social Media,6406,2466,514,6973.26,26389.14,23,Sydney,02-01-2024 06:00
32,Service-Based,Insurance,Food & Beverage,Adults,TV,6359,3071,205,1090.5,42595.97,21,Dubai,02-01-2024 07:00
33,Product-Based,E-commerce Platform,Education,Teens,TV,5191,3390,49,3219.27,22060.72,8,Sydney,02-01-2024 08:00
34,Service-Based,Education Course,Food & Beverage,Teens,Print Media,36465,3109,570,9935.76,18781.43,17,Tokyo,02-01-2024 09:00
35,Product-Based,Travel Package,Food & Beverage,Families,Print Media,32049,2102,346,7410.76,41332.53,15,Tokyo,02-01-2024 10:00
36,Service-Based,Gourmet Food Delivery,Health & Fitness,Professionals,TV,4164,4582,64,7194.78,26062.29,28,New York,02-01-2024 11:00
37,Service-Based,E-commerce Platform,Education,Families,Radio,19047,8608,473,1984.44,7494.57,11,Los Angeles,02-01-2024 12:00
38,Product-Based,Insurance,Health & Fitness,Professionals,Online,9435,6317,539,5742.06,39681.45,18,Los Angeles,02-01-2024 13:00
39,Service-Based,Smartphone,Health & Fitness,Seniors,Online,36121,1711,567,8922.19,11687.86,27,Tokyo,02-01-2024 14:00
40,Service-Based,Home Security,E-commerce,Teens,Billboard,25317,6900,284,1846.02,15453.66,17,New York,02-01-2024 15:00
